,Adj Close,Date
0,2268.955078125,2020-08-24
1,2268.411865234375,2020-08-25
2,2266.76123046875,2020-08-26
3,2268.969482421875,2020-08-27
4,2267.754638671875,2020-08-28
5,2265.230224609375,2020-08-31
6,2269.547119140625,2020-09-01
7,2267.05712890625,2020-09-02
8,2271.346923828125,2020-09-03
9,2279.0947265625,2020-09-04
10,2277.640869140625,2020-09-07
11,2288.288330078125,2020-09-08
12,2301.028564453125,2020-09-09
13,2292.1552734375,2020-09-10
14,2294.49658203125,2020-09-11
15,2322.57666015625,2020-09-14
16,2433.246337890625,2020-09-15
17,2459.989501953125,2020-09-16
18,2486.62646484375,2020-09-17
19,2455.739013671875,2020-09-18
20,2444.849609375,2020-09-21
21,2457.698486328125,2020-09-22
22,2506.81884765625,2020-09-23
23,2455.333251953125,2020-09-24
24,2292.351318359375,2020-09-25
25,2329.02294921875,2020-09-28
26,2325.21533203125,2020-09-29
27,2405.2001953125,2020-09-30
28,2424.08642578125,2020-10-01
29,2470.729248046875,2020-10-05
30,2613.914306640625,2020-10-06
31,2647.3330078125,2020-10-07
32,2678.341064453125,2020-10-08
33,2734.680419921875,2020-10-09
34,2751.177734375,2020-10-12
35,2773.78076171875,2020-10-13
36,2784.8076171875,2020-10-14
37,2782.295166015625,2020-10-15
38,2718.170654296875,2020-10-16
39,2729.11474609375,2020-10-19
40,2664.630615234375,2020-10-20
41,2668.554931640625,2020-10-21
42,2581.15576171875,2020-10-22
43,2547.829833984375,2020-10-23
44,2546.318359375,2020-10-26
45,2536.914794921875,2020-10-27
46,2436.376953125,2020-10-28
47,2397.41650390625,2020-10-29
48,2391.132080078125,2020-10-30
49,2428.323486328125,2020-11-02
50,2351.95751953125,2020-11-03
51,2372.8427734375,2020-11-04
52,2398.840576171875,2020-11-05
53,2457.314453125,2020-11-06
54,2516.329345703125,2020-11-09
55,2571.868408203125,2020-11-10
56,2450.947998046875,2020-11-11
57,2499.59033203125,2020-11-12
58,2470.787109375,2020-11-13
59,2438.71875,2020-11-17
60,2443.26171875,2020-11-18
61,2378.730712890625,2020-11-19
62,2376.938720703125,2020-11-20
63,2402.99560546875,2020-11-23
64,2513.415771484375,2020-11-24
65,2536.055419921875,2020-11-25
66,2513.75,2020-11-26
67,2546.4765625,2020-11-27
68,2479.629150390625,2020-12-01
