,Adj Close,Date
0,261.1036832555633,2020-09-02
1,264.11206996263263,2020-09-03
2,275.7328260645503,2020-09-04
3,266.8392521511583,2020-09-07
4,269.92775561291586,2020-09-08
5,274.3807522761773,2020-09-09
6,275.3636898589063,2020-09-10
7,277.72193794984497,2020-09-11
8,286.8651390815821,2020-09-14
9,299.69917228342166,2020-09-15
10,302.8353480479847,2020-09-16
11,308.38144232050615,2020-09-17
12,309.7245112583646,2020-09-18
13,314.4719766250568,2020-09-21
14,309.1561459428892,2020-09-22
15,309.4479246138567,2020-09-23
16,311.4715344743087,2020-09-24
17,298.02623532553974,2020-09-25
18,305.033413553828,2020-09-28
19,302.6734898944533,2020-09-29
20,302.63960977296466,2020-09-30
21,304.69935319789636,2020-10-01
22,304.50328419546196,2020-10-05
23,322.14425701483003,2020-10-06
24,320.9476295611578,2020-10-07
25,327.0242788980665,2020-10-08
26,346.0887114395573,2020-10-09
27,360.4704308314606,2020-10-12
28,368.18585514855135,2020-10-13
29,371.0822132405626,2020-10-14
30,349.06504563152396,2020-10-15
31,339.5810076847598,2020-10-16
32,335.3037549282076,2020-10-19
33,336.03639289103944,2020-10-20
34,337.8125988796597,2020-10-21
35,334.3453314613036,2020-10-22
36,334.4016588867898,2020-10-23
37,332.03268521662454,2020-10-26
38,329.04900005008506,2020-10-27
39,322.8877926484379,2020-10-28
40,323.19921890588284,2020-10-29
41,324.4822450371106,2020-10-30
42,327.648887921168,2020-11-02
43,322.89673421091595,2020-11-03
44,323.60703426994866,2020-11-04
45,330.95770737012253,2020-11-05
46,334.8517325523839,2020-11-06
47,336.90018207196226,2020-11-09
48,344.1408582637227,2020-11-10
49,335.38097120557364,2020-11-11
50,339.29892023522723,2020-11-12
51,338.4294254797673,2020-11-13
52,336.3969812863029,2020-11-17
53,339.80790929052284,2020-11-18
54,335.81875066227286,2020-11-19
55,332.11835864762065,2020-11-20
56,335.0619767294438,2020-11-23
57,344.1309402504939,2020-11-24
58,345.22936957326795,2020-11-25
59,339.93639527991087,2020-11-26
60,344.20537852945074,2020-11-27
61,339.9163214190762,2020-12-01
62,341.8189802432727,2020-12-02
63,347.5852857370198,2020-12-03
64,349.86276834602705,2020-12-04
65,351.4155342635209,2020-12-07
66,349.35997183607896,2020-12-08
67,354.6214704592114,2020-12-09
68,350.36073303816227,2020-12-10
69,346.3457380423613,2020-12-11
