,Adj Close,Date
0,2203.5738440982864,2020-08-26
1,2214.476849399397,2020-08-27
2,2211.3926904005525,2020-08-28
3,2203.4188919934686,2020-08-31
4,2227.061445723432,2020-09-01
5,2218.2759505342897,2020-09-02
6,2237.892386033348,2020-09-03
7,2273.239793289813,2020-09-04
8,2266.203876706491,2020-09-07
9,2302.6259344926134,2020-09-08
10,2325.7464657002192,2020-09-09
11,2308.6283148609045,2020-09-10
12,2312.492540216158,2020-09-11
13,2348.520939172199,2020-09-14
14,2438.502646681565,2020-09-15
15,2451.4936576167356,2020-09-16
16,2467.1765365717806,2020-09-17
17,2429.427370997716,2020-09-18
18,2416.218099350296,2020-09-21
19,2424.913129933536,2020-09-22
20,2467.2098677981944,2020-09-23
21,2418.247874183491,2020-09-24
22,2299.416610030323,2020-09-25
23,2352.868385228011,2020-09-28
24,2354.714718314025,2020-09-29
25,2402.8194325461322,2020-09-30
26,2414.2371253950664,2020-10-01
27,2444.4910603984795,2020-10-05
28,2582.702039000477,2020-10-06
29,2614.5808247339805,2020-10-07
30,2647.2127212258015,2020-10-08
31,2722.120001515018,2020-10-09
32,2729.1204868113264,2020-10-12
33,2749.1647225637303,2020-10-13
34,2752.868046767739,2020-10-14
35,2739.9386911617758,2020-10-15
36,2678.6038890383024,2020-10-16
37,2686.461090610373,2020-10-19
38,2640.0755578287635,2020-10-20
39,2652.315610051053,2020-10-21
40,2594.5074087665575,2020-10-22
41,2579.8495924224076,2020-10-23
42,2584.4430683221426,2020-10-26
43,2584.389909201797,2020-10-27
44,2537.3719023539734,2020-10-28
45,2526.012291623923,2020-10-29
46,2530.71344549208,2020-10-30
47,2559.859593736051,2020-11-02
48,2523.704185386342,2020-11-03
49,2550.8430444270753,2020-11-04
50,2576.386014531795,2020-11-05
51,2612.899816130781,2020-11-06
52,2644.146594235212,2020-11-09
53,2673.0295116945545,2020-11-10
54,2613.4563205445215,2020-11-11
55,2639.3141331358784,2020-11-12
56,2625.485533103032,2020-11-13
57,2610.7548100004733,2020-11-17
58,2614.613498277107,2020-11-18
59,2579.446089474974,2020-11-19
60,2582.540432525683,2020-11-20
61,2600.661958142553,2020-11-23
62,2654.7366395559534,2020-11-24
63,2661.3195995342003,2020-11-25
64,2648.1108297972805,2020-11-26
65,2664.6992552015254,2020-11-27
66,2631.3237568846243,2020-12-01
67,2667.0288999614913,2020-12-02
68,2687.801300694522,2020-12-03
