,Adj Close,Date
0,2391.2681697491303,2020-08-26
1,2397.426935079569,2020-08-27
2,2395.824532322705,2020-08-28
3,2393.1795780032608,2020-08-31
4,2406.2811444599934,2020-09-01
5,2403.0122979467455,2020-09-02
6,2413.3909301153963,2020-09-03
7,2428.999977316609,2020-09-04
8,2423.6504805125846,2020-09-07
9,2441.306425061397,2020-09-08
10,2451.8983150070953,2020-09-09
11,2435.8916266304527,2020-09-10
12,2436.5394354695413,2020-09-11
13,2458.598262988292,2020-09-14
14,2512.5594506350994,2020-09-15
15,2527.215877639662,2020-09-16
16,2540.9660549605064,2020-09-17
17,2493.381481973806,2020-09-18
18,2480.9255000375683,2020-09-21
19,2491.4751197352225,2020-09-22
20,2528.090259996827,2020-09-23
21,2478.33916380714,2020-09-24
22,2387.034660761158,2020-09-25
23,2442.7360549386713,2020-09-28
24,2443.080740933725,2020-09-29
25,2465.2027891892017,2020-09-30
26,2469.77027445886,2020-10-01
27,2485.2769065863645,2020-10-05
28,2571.1688129180307,2020-10-06
29,2619.2141565639386,2020-10-07
30,2658.4267875635737,2020-10-08
31,2741.896346912242,2020-10-09
32,2757.0012440171486,2020-10-12
33,2785.428337520746,2020-10-13
34,2791.324108906273,2020-10-14
35,2775.445545986062,2020-10-15
36,2698.1254042072237,2020-10-16
37,2710.238927346177,2020-10-19
38,2657.7255620986657,2020-10-20
39,2663.6431728275847,2020-10-21
40,2612.8452053331057,2020-10-22
41,2593.501783740769,2020-10-23
42,2580.308214386757,2020-10-26
43,2563.3508265853347,2020-10-27
44,2529.7278721001126,2020-10-28
45,2504.434954873227,2020-10-29
46,2483.1849966573395,2020-10-30
47,2470.694172296172,2020-11-02
48,2463.187139102595,2020-11-03
49,2455.103099068583,2020-11-04
50,2462.3410915450745,2020-11-05
51,2479.2798195529945,2020-11-06
52,2511.0080198982623,2020-11-09
53,2548.0505053665197,2020-11-10
54,2537.745449418419,2020-11-11
55,2536.6164527282226,2020-11-12
56,2531.164812732368,2020-11-13
57,2526.896217036326,2020-11-17
58,2526.025037735935,2020-11-18
59,2521.304489759969,2020-11-19
60,2520.8444113840087,2020-11-20
61,2530.3029167412783,2020-11-23
62,2545.4528673933223,2020-11-24
63,2575.922528358494,2020-11-25
64,2587.9008144544173,2020-11-26
65,2597.818043505074,2020-11-27
66,2595.9108575190007,2020-12-01
67,2596.274656747379,2020-12-02
68,2605.447710896925,2020-12-03
